batch_id,generator,ordered_draws,multiplicities,rejection_or_filtering,regeneration_matches
rand10_t0,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",13 1 6 5 20 19 23 2 9 1,1:2 2:1 5:1 6:1 9:1 13:1 19:1 20:1 23:1,none,True
rand10_t1,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",5 11 1 4 13 11 5 12 22 1,1:2 4:1 5:2 11:2 12:1 13:1 22:1,none,True
rand10_t2,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",22 19 7 4 25 7 2 2 22 13,2:2 4:1 7:2 13:1 19:1 22:2 25:1,none,True
rand10_t3,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",22 20 11 25 8 12 22 13 23 12,8:1 11:1 12:2 13:1 20:1 22:2 23:1 25:1,none,True
rand10_t4,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",20 1 5 6 2 5 3 6 13 8,1:1 2:1 3:1 5:2 6:2 8:1 13:1 20:1,none,True
rand10_t5,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",8 5 6 24 13 13 4 20 4 8,4:2 5:1 6:1 8:2 13:2 20:1 24:1,none,True
rand10_t6,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",25 13 12 19 22 21 5 1 7 6,1:1 5:1 6:1 7:1 12:1 13:1 19:1 21:1 22:1 25:1,none,True
rand10_t7,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",5 24 23 7 19 8 24 10 6 5,5:2 6:1 7:1 8:1 10:1 19:1 23:1 24:2,none,True
rand10_t8,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",12 6 12 23 8 5 25 11 2 1,1:1 2:1 5:1 6:1 8:1 11:1 12:2 23:1 25:1,none,True
rand10_t9,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",3 13 21 9 2 8 25 11 25 23,2:1 3:1 8:1 9:1 11:1 13:1 21:1 23:1 25:2,none,True
rand20_t0,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",1 20 19 11 6 13 3 9 10 25 23 6 11 4 24 23 6 13 13 4,1:1 3:1 4:2 6:3 9:1 10:1 11:2 13:3 19:1 20:1 23:2 24:1 25:1,none,True
rand20_t1,"random.seed(42); random.choices(pool20, k=k) for k in (10,20,30) for t in range(10), pool20 = the 20 paper idx",21 11 21 11 1 7 1 24 23 22 7 2 23 24 2 10 2 21 21 3,1:2 2:3 3:1 7:2 10:1 11:2 21:4 22:1 23:2 24:2,none,True
